Date, Value
2015-02-15 - 2015-02-21,84
2015-02-22 - 2015-02-28,88
2015-03-01 - 2015-03-07,92
2015-03-08 - 2015-03-14,87
2015-03-15 - 2015-03-21,85
2015-03-22 - 2015-03-28,83
2015-03-29 - 2015-04-04,92
2015-04-05 - 2015-04-11,79
2015-04-12 - 2015-04-18,94
2015-04-19 - 2015-04-25,92
2015-04-26 - 2015-05-02,82
2015-05-03 - 2015-05-09,77
2015-05-10 - 2015-05-16,80
2015-05-17 - 2015-05-23,77
2015-05-24 - 2015-05-30,81
2015-05-31 - 2015-06-06,77
2015-06-07 - 2015-06-13,68
2015-06-14 - 2015-06-20,65
2015-06-21 - 2015-06-27,70
2015-06-28 - 2015-07-04,69
2015-07-05 - 2015-07-11,67
2015-07-12 - 2015-07-18,69
2015-07-19 - 2015-07-25,69
2015-07-26 - 2015-08-01,69
2015-08-02 - 2015-08-08,65
2015-08-09 - 2015-08-15,100
2015-08-16 - 2015-08-22,74
2015-08-23 - 2015-08-29,68
2015-08-30 - 2015-09-05,85
2015-09-06 - 2015-09-12,68
2015-09-13 - 2015-09-19,68
2015-09-20 - 2015-09-26,68
2015-09-27 - 2015-10-03,94
2015-10-04 - 2015-10-10,71
2015-10-11 - 2015-10-17,69
2015-10-18 - 2015-10-24,70
2015-10-25 - 2015-10-31,67
2015-11-01 - 2015-11-07,65
2015-11-08 - 2015-11-14,69
2015-11-15 - 2015-11-21,69
2015-11-22 - 2015-11-28,66
2015-11-29 - 2015-12-05,64
2015-12-06 - 2015-12-12,67
2015-12-13 - 2015-12-19,66
2015-12-20 - 2015-12-26,70
2015-12-27 - 2016-01-02,64
2016-01-03 - 2016-01-09,58
2016-01-10 - 2016-01-16,52
2016-01-17 - 2016-01-23,63
2016-01-24 - 2016-01-30,64
2016-01-31 - 2016-02-06,71
2016-02-07 - 2016-02-13,80 
