Date,Open,High,Low,Close,Volume,10 MA,20 MA,30 MA,26 MA,26 EMA,12 EMA,MACD,Daily return
2015-02-04,529.24,532.67,521.27,522.76,1659125,,,,,522.76,522.76,0.0,
2015-02-05,523.79,528.5,522.09,527.58,1844687,,,,,525.2626923076923,525.3708333333334,0.10814102564108907,0.009220292294743304
2015-02-06,527.64,537.2,526.41,531.0,1758650,,,,,527.3240512567767,527.5678983833718,0.24384712659514207,0.006482429205049378
2015-02-09,528.0,532.0,526.02,527.83,1264276,,,,,527.4654924156346,527.6506336206896,0.1851412050550607,-0.005969868173257953
2015-02-10,529.3,537.7,526.92,536.94,1745076,,,,,529.6626698029928,530.1745212659697,0.5118514629768924,0.017259344864823944
2015-02-11,535.3,538.45,533.38,535.97,1373970,,,,,530.9259777359923,531.5831274973423,0.657149761349956,-0.001806533318434167
2015-02-12,537.25,544.82,534.67,542.93,1615824,,,,,533.0608308684442,534.1151423966328,1.0543115281885775,0.012985801444110434
2015-02-13,543.35,549.91,543.13,549.01,1895126,,,,,535.6306372092463,537.2234696024342,1.592832393187905,0.011198497043817923
2015-02-17,546.83,550.0,541.09,542.84,1612439,,,,,536.6992230415234,538.3346192240937,1.6353961825702754,-0.011238410957906009
2015-02-18,541.4,545.49,537.51,539.7,1449089,535.656,,,,537.1133010561675,538.5933583504803,1.4800572943128145,-0.0057843931913639235
2015-02-19,538.04,543.11,538.01,542.87,987478,537.6669999999999,,,,537.8599467329075,539.3758806552289,1.5159339223214374,0.005873633500092623
2015-02-20,543.13,543.75,535.8,538.95,1441212,538.8039999999999,,,,537.9938769520977,539.3001604728356,1.3062835207379067,-0.007220881610698671
2015-02-23,536.05,536.44,529.41,531.91,1453907,538.8949999999999,,,,537.28115186453,538.0169478663755,0.7357960018455287,-0.013062436218573281
2015-02-24,530.0,536.79,528.25,536.09,1002393,539.7209999999999,,,,537.147371334523,537.6888501687242,0.5414788342012571,0.00785847229794534
2015-02-25,535.9,546.22,535.44,543.87,1821041,540.414,,,,537.8745950824504,538.7242985830552,0.8497035006048463,0.014512488574679683
2015-02-26,543.21,556.14,541.5,555.48,2305219,542.3649999999999,,,,539.7162650617752,541.493310353453,1.7770452916778368,0.021347013072976928
2015-02-27,554.24,564.71,552.9,558.4,2403553,543.9119999999998,,,,541.6128273206178,544.2557499030286,2.6429225824107334,0.0052567149132281
2015-03-02,560.53,572.15,558.75,571.34,2123796,546.1449999999998,,,,544.549819570817,548.6392843065053,4.089464735688239,0.023173352435530203
2015-03-03,570.45,575.39,566.52,573.64,1700084,549.2249999999998,,,,547.3545338959543,552.6534812410699,5.298947345115607,0.004025623971715575
2015-03-04,571.87,577.11,568.01,573.37,1871694,552.5919999999999,544.124,,,549.8079900869366,555.9575992797489,6.149609192812363,-0.0004706784743043757
2015-03-05,575.02,577.91,573.41,575.33,1385818,555.8379999999999,546.7524999999999,,,552.1671749780104,559.0299951766976,6.8628201986872455,0.0034183860334513483
2015-03-06,574.88,576.68,566.76,567.68,1654561,558.7109999999999,548.7574999999999,,,553.5752808326462,560.3953700192949,6.820089186648715,-0.013296716666956532
